attribute,value
Color,Amber
Color,Neutural
Color,glow pink
Color,Pale Beige
Color,luminary ivory
Color,misty beige
Color,Radiant Gold
Color,Nude Beige
Color,O10
Color,PÃƒÂªche
Color,Pearly White
Color,Tease
Color,Very Light Warm
Color,Beige Diaphane
Color,Linen
Color,Blanc
Color,At Night
Color,Overpower
Color,Pussycat
Color,Insouciant
Color,Infatuate
Color,Initiate
Color,Knockout
Color,Capturing Moment
Color,Gentle Blossom
Color,Inner Fullness
Color,Forest Morning
Color,Universal Glow
Color,Light Glow
Color,2N
Color,Satin Nude N
Color,Ultra Dior
Color,AÃƒÂ§ai
Color,101
Color,Pure Ivory N-20
Color,102 Natural Ocher
Color,Colorless 01
Color,03 Blow-Up
Color,02 La Nudite
Color,03 Sparkling Pink
Color,02 Intense Pink
Color,0
Color,10
Color,01 Coral Kiss
Color,O-01
Color,02 Beige Clair - Light Beige
Color,10 Bountiful Blush
Color,02 Natural
Color,01 Very Light
Color,Petal 21
Color,1.0 All Skin Types
Color,64 Cream Beige  (M-G)
Color,63 Fresh Beige  (F-G)
Color,64 Cream Beige
Color,63 Fresh Beige
Color,61 Ivory
Color,04 Ayanadeshiko
Color,Pink Sands
Color,02 Hikaritouka
Color,Kitten Karma
Color,Sunset Cove
Color,Ballet Baby
Color,Wanderlust
Color,Bronzed Bell
Color,Rose Gold Retro
Color,Gypsy
Color,Into the Blue
Color,Gold Goddess
Color,Sea Siren
Color,Smoldering Satin
Color,Diamond Dust
Color,Transcendence
Color,Matte'n Metal
Color,Soul
Color,771 Natural Berry
Color,20
Color,Parisienne Chic
Color,Incandescent Electra
Color,Mood Exposure
Color,Dim Infusion
Color,04 Flame
Color,410 Rouge Suedine
Color,309 L'Interdit
Color,306 Orange Plumetis
Color,205 Corail Popeline
Color,203 Rose Jersey
Color,202 Rose Flanelle
Color,BO-01
Color,660 Poppy
Color,Translucent
Color,640 Impatiens
Color,610 Flamingo
Color,10 Beige
Color,3 Show Me Peach
Color,1 Night Rehab
Color,B10 Porcelain
Color,05 Spirit
Color,015 Beige Tendre / Tender Beige
Color,No. 21 Natural (Pink)
Color,8 Red Lantern
Color,12 Light
Color,02 Very Light
Color,201
Color,766 Rose Harpers
Color,Light / Medium
Color,Universal Shade
Color,102
Color,Glow 02
Color,324 Red Love
Color,M330 Spicy Burgundy
Color,103
Color,30 Delight
Color,M348 Hot Coral
Color,21 Rose Neon
Color,10 Boyish Rose
Color,9 Rose Alibi
Color,23 Fuchsia In-The-Know
Color,Peach
Color,M65 Tempting Rose
Color,M41 Appealing Orange
Color,310 Ronron
Color,300 Impera
Color,02C Clair Rose / Light Cool
Color,01N Tres Clair / Very Light
Color,02N Clair / Light
Color,06 Harusumire
Color,01 Yuushakuyaku
Color,6 Touch Me Red
Color,203
Color,702L Altareva
Color,230L Colibretta
Color,Glow 01
Color,02 Just Peachy
Color,01 Pink Petal
Color,202
Color,Beige Rose
Color,carbon black
Color,Nude In The Dark
Color,PF04 Light
Color,Light Relax
Color,Noir Infini
Color,Yellow
Color,Power
Color,Golden Bronze
Color,Perfect Pink
Color,PF02 Light
Color,PF01
Color,Mahogany
Color,Scandola
Color,Electric Pink
Color,Immaculate Light
Color,Public Display
Color,Twist Of Fate
Color,Ultra Black
Color,Noir Ebene
Color,I'll Teach You
Color,Fresh Fair
Color,Natural Coral
Color,Infamy
Color,Rose Tentateur
Color,Mat Sand
Color,Mat Shell
Color,Mat Porcelain
Color,Mat Beige
Color,Mat Pearl
Color,Dream Obscene
Color,Exposed
Color,Erotic
Color,No Vacancy
Color,Carriacou
Color,Brigitte
Color,Copper
Color,Cala Di Volpe
Color,Otranto
Color,Fiery Fuschia
Color,Heartbreaker
Color,Spring Rose
Color,Medium 1 Custard 1234
Color,Light 2 Vanilla 1232
Color,Relentlessly Red
Color,Russian Red
Color,Blue
Color,M.A.C Red
Color,See Sheer
Color,Ruby Woo
Color,Candy Yum-Yum
Color,Lady Danger
Color,Impassioned
Color,Vegas Volt
Color,Morange
Color,Honey Pot
Color,RD100
Color,Mustique
Color,Violet Fatale
Color,N10
Color,Mythic
Color,Sugar Kiss
Color,Premiere Saison
Color,Mata Hari
Color,Excessive Rose
Color,Clair / Light - Brunettes
Color,Wild Ginger
Color,Rose Rendez-Vous (Cream)
Color,Natural 12
Color,Ivory 02
Color,Tres Decollete 200
Color,Pure Porcelaine
Color,Insidious
Color,Radiant Diaphanous (Warm Translucent)
Color,SX06
Color,SX05
Color,SX03
Color,Fuchsia Live
Color,Anita
Color,Drop Dead Red
Color,Bold Innocent
Color,Ruby Rush
Color,Rose Ivory
Color,Cream Ivory
Color,Universal
Color,Showgirl
Color,Flash of Pink
Color,Pink In Devotion
Color,Rouge Tuxedo
Color,Lady Bug
Color,Spanish Pink
Color,Flamingo
Color,Quiver
Color,Delight
Color,Light Rosy
Color,Nude Sand
Color,Nude Shell
Color,Nude Porcelain
Color,True Coral
Color,Red Square
Color,Dolce Vita
Color,Dragon Girl
Color,Light 2 Mont Blanc Sheer Glow 6042
Color,Light ochre
Color,Rouge Rebelle
Color,Rouge Provocant
Color,Corail Redoutable
Color,Rose Sulfureux
Color,Rose Transgressif
Color,Beige Clair - Light Beige
Color,Sheer Tint
Color,Sheer
Color,Gabrielle
Color,Beloved
Color,R371 Morning Rose
Color,Lasting Black
Color,Cream Chamois (VF-G)
Color,Alabaster (VF-N)
Color,Medium Golden
Color,Deep Black
Color,R329 Crazy Bouquet
Color,Pink Me Up
Color,Peach Party
Color,Morning Rose
Color,Riviera
Color,Whole Lotta Honey
Color,True Beige
Color,Noir Mirifique
Color,Onde Rose
Color,Mocha
Color,Captive
Color,Crosswires
Color,Neutral Fair
Color,Roomiest Rose
Color,Mightiest Maraschino
Color,Curviest Caramel
Color,Graped-up
Color,Super Strawberry
Color,Chunky Cherry
Color,Amber Design
Color,Nude Pink Design
Color,Light Medium
Color,Curvy Contour
Color,Noir
Color,Gaiety
Color,Casino
Color,Laguna
Color,So Black!
Color,Soft Beige
Color,Lemon
Color,Sex Appeal
Color,Craving
Color,Radiant
Color,Black Black
Color,Surrealistic Black
Color,Warm Silk
Color,Golden Glow
Color,No.3
Color,Chocolate Lustre
Color,Mild
Color,Rose Pale
Color,Beige Pale
Color,Gold Tchlack
Color,Rose De Mai
Color,Bois De Santal
Color,Bare Shell 02
Color,Original
Color,Fresh Beige (F-P)
Color,Warmth
Color,60 - Beige
Color,Over Black
Color,Invisible Matte (All Skin Tones)
Color,Intense Plum
Color,Intense Chocolate
Color,Invisible Light
Color,Translucent Crystal
Color,Dry Combination Skin
Color,Egyptian
Color,Light Bisque
Color,SC-3
Color,Brown Sugar
Color,Black/Brown
Color,Black Diamond
Color,Highlight-01
Color,Fresh Peach
Color,Natural Fair
Color,Extra Mild (Very Dry to Dry)
Color,Noir Midnight
Color,Pear
Color,Deep Throat
Color,Torrid
Color,Precious Black
Color,Naturel - Translucent 2
Color,Deep Relax
Color,Lavender
Color,#30 Naturel
Color,Sugarland
Color,Angelika
Color,Outlaw
Color,Orgasm
Color,Noir hypnotic
